 ,Area,%Area,Slice
1255,10,100,35
1256,21,100,35
1257,50,100,35
1258,1,100,35
1259,17,100,35
1260,4,100,35
1261,2,100,35
1262,33,100,35
1263,21,100,35
1264,2,100,35
1265,2,100,36
1266,4,100,36
1267,3,100,36
1268,1,100,36
1269,2,100,36
1270,2,100,36
1271,1,100,36
1272,22,100,36
1273,1,100,36
1274,36,100,36
1275,23,100,36
1276,7,100,36
1277,18,100,36
1278,2,100,36
1279,21,100,36
1280,9,100,36
1281,9,100,36
1282,10,100,36
1283,7,100,36
1284,53,100,36
1285,5,100,36
1286,9,100,36
1287,1,100,36
1288,2,100,36
1289,11,100,36
1290,11,100,36
1291,38,100,36
1292,5,100,36
1293,11,100,36
1294,1,100,36
1295,26,100,36
1296,10,100,36
1297,3,100,36
1298,8,100,36
1299,32,100,36
1300,40,100,36
1301,18,100,36
1302,3,100,36
1303,7,100,36
1304,6,100,36
1305,5,100,36
1306,24,100,36
1307,7,100,36
1308,2,100,36
1309,3,100,37
1310,1,100,37
1311,1,100,37
1312,1,100,37
1313,5,100,37
1314,5,100,37
1315,1,100,37
1316,24,100,37
1317,1,100,37
1318,1,100,37
1319,27,100,37
1320,17,100,37
1321,3,100,37
1322,14,100,37
1323,13,100,37
1324,6,100,37
1325,12,100,37
1326,4,100,37
1327,4,100,37
1328,51,100,37
1329,4,100,37
1330,9,100,37
1331,7,100,37
1332,3,100,37
1333,3,100,37
1334,5,100,37
1335,19,100,37
1336,2,100,37
1337,31,100,37
1338,5,100,37
1339,1,100,37
1340,14,100,37
1341,5,100,37
1342,28,100,37
1343,25,100,37
1344,12,100,37
1345,8,100,37
1346,2,100,37
1347,23,100,37
1348,19,100,37
1349,9,100,37
1350,2,100,37
1351,2,100,38
1352,1,100,38
1353,1,100,38
1354,6,100,38
1355,4,100,38
1356,5,100,38
1357,1,100,38
1358,15,100,38
1359,7,100,38
1360,1,100,38
1361,16,100,38
1362,5,100,38
1363,18,100,38
1364,1,100,38
1365,3,100,38
1366,41,100,38
1367,8,100,38
1368,5,100,38
1369,1,100,38
1370,2,100,38
1371,5,100,38
1372,22,100,38
1373,3,100,38
1374,1,100,38
1375,12,100,38
1376,19,100,38
1377,13,100,38
1378,9,100,38
1379,2,100,38
1380,36,100,38
1381,22,100,38
1382,4,100,38
1383,1,100,39
1384,3,100,39
1385,1,100,39
1386,2,100,39
1387,9,100,39
1388,10,100,39
1389,20,100,39
1390,4,100,39
1391,11,100,39
1392,30,100,39
1393,1,100,39
1394,2,100,39
1395,8,100,39
1396,16,100,39
1397,4,100,39
1398,9,100,39
1399,16,100,39
1400,5,100,39
1401,9,100,39
1402,33,100,39
1403,19,100,39
1404,10,100,39
1405,2,100,39
1406,1,100,40
1407,1,100,40
1408,1,100,40
1409,1,100,40
1410,1,100,40
1411,1,100,40
1412,15,100,40
1413,1,100,40
1414,1,100,40
1415,3,100,40
1416,9,100,40
1417,17,100,40
1418,11,100,40
1419,6,100,40
1420,6,100,40
1421,11,100,40
1422,2,100,40
1423,8,100,40
1424,5,100,40
1425,10,100,40
1426,5,100,40
1427,12,100,40
1428,18,100,40
1429,13,100,40
1430,22,100,40
1431,24,100,40
1432,1,100,40
1433,2,100,40
1434,2,100,40
1435,3,100,41
1436,2,100,41
1437,1,100,41
1438,3,100,41
1439,1,100,41
1440,1,100,41
1441,1,100,41
1442,1,100,41
1443,1,100,41
1444,5,100,41
1445,18,100,41
1446,4,100,41
1447,12,100,41
1448,18,100,41
1449,3,100,41
1450,18,100,41
1451,14,100,41
1452,1,100,41
1453,2,100,41
1454,13,100,41
1455,2,100,41
1456,4,100,41
1457,1,100,41
1458,7,100,41
1459,8,100,41
1460,12,100,41
1461,19,100,41
1462,31,100,41
1463,6,100,41
1464,1,100,41
1465,2,100,41
1466,1,100,42
1467,2,100,42
1468,1,100,42
1469,3,100,42
1470,1,100,42
1471,14,100,42
1472,18,100,42
1473,24,100,42
1474,1,100,42
1475,24,100,42
1476,5,100,42
1477,12,100,42
1478,2,100,42
1479,7,100,42
1480,2,100,42
1481,5,100,42
1482,1,100,42
1483,12,100,42
1484,1,100,42
1485,14,100,42
1486,26,100,42
1487,12,100,42
1488,1,100,42
1489,2,100,42
1490,2,100,42
1491,1,100,43
1492,3,100,43
1493,3,100,43
1494,2,100,43
1495,1,100,43
1496,2,100,43
1497,1,100,43
1498,1,100,43
1499,1,100,43
1500,1,100,43
1501,13,100,43
1502,7,100,43
1503,24,100,43
1504,4,100,43
1505,4,100,43
1506,1,100,43
1507,23,100,43
1508,24,100,43
1509,13,100,43
1510,1,100,43
1511,1,100,43
1512,1,100,43
1513,1,100,43
1514,12,100,43
1515,7,100,43
1516,9,100,43
1517,31,100,43
1518,12,100,43
1519,8,100,43
1520,2,100,43
1521,2,100,43
1522,1,100,44
1523,2,100,44
1524,1,100,44
1525,1,100,44
1526,1,100,44
1527,1,100,44
1528,1,100,44
1529,4,100,44
1530,8,100,44
1531,14,100,44
1532,2,100,44
1533,9,100,44
1534,4,100,44
1535,17,100,44
1536,1,100,44
1537,4,100,44
1538,5,100,44
1539,20,100,44
1540,47,100,44
1541,13,100,44
1542,1,100,44
1543,1,100,44
1544,1,100,44
1545,11,100,44
1546,21,100,44
1547,19,100,44
1548,5,100,44
1549,43,100,44
1550,3,100,44
1551,4,100,44
1552,1,100,44
1553,1,100,45
1554,1,100,45
1555,17,100,45
1556,4,100,45
1557,1,100,45
1558,12,100,45
1559,30,100,45
1560,4,100,45
1561,1,100,45
1562,16,100,45
1563,4,100,45
1564,62,100,45
1565,15,100,45
1566,1,100,45
1567,2,100,45
1568,8,100,45
1569,1,100,45
1570,4,100,45
1571,28,100,45
1572,24,100,45
1573,9,100,45
1574,49,100,45
1575,3,100,45
1576,6,100,45
1577,1,100,45
1578,8,100,45
1579,1,100,45
1580,1,100,46
1581,1,100,46
1582,1,100,46
1583,20,100,46
1584,2,100,46
1585,2,100,46
1586,32,100,46
1587,5,100,46
1588,11,100,46
1589,26,100,46
1590,65,100,46
1591,13,100,46
1592,3,100,46
1593,1,100,46
1594,4,100,46
1595,1,100,46
1596,5,100,46
1597,2,100,46
1598,4,100,46
1599,21,100,46
1600,2,100,46
1601,2,100,46
1602,7,100,46
1603,29,100,46
1604,26,100,46
1605,5,100,46
1606,6,100,46
1607,46,100,46
1608,12,100,46
1609,4,100,46
1610,27,100,46
1611,18,100,46
1612,1,100,46
1613,2,100,47
1614,3,100,47
1615,2,100,47
1616,1,100,47
1617,8,100,47
1618,2,100,47
1619,2,100,47
1620,18,100,47
1621,4,100,47
1622,13,100,47
1623,24,100,47
1624,2,100,47
1625,17,100,47
1626,30,100,47
1627,61,100,47
1628,10,100,47
1629,6,100,47
1630,9,100,47
1631,9,100,47
1632,1,100,47
1633,17,100,47
1634,1,100,47
1635,1,100,47
1636,33,100,47
1637,4,100,47
1638,8,100,47
1639,20,100,47
1640,25,100,47
1641,22,100,47
1642,1,100,47
1643,38,100,47
1644,11,100,47
1645,5,100,47
1646,1,100,47
1647,39,100,47
1648,6,100,47
1649,37,100,47
1650,2,100,48
1651,2,100,48
1652,1,100,48
1653,2,100,48
1654,2,100,48
1655,1,100,48
1656,7,100,48
1657,1,100,48
1658,2,100,48
